uma,中項目,小項目(辞書版出来ました),"追加したい項目は追加希望シートに記載ください,調べたい物は,検索シートが便利です",,大項目,34,中項目,
エフェクト,エフェクト,エフェクト,effect,",",エフェクト,14,エフェクト,1
エフェクト,グロテスク,血まみれの水,bloodwater,",",オブジェクト,6,グロテスク,5
エフェクト,グロテスク,血液をはねかける,splashing blood,",",オプション,3,シンボル,8
エフェクト,グロテスク,血液雨,blood rain,",",お気に,1,液体,10
エフェクト,グロテスク,血液滴,blood drop,",",カメラワーク,7,炎,13
エフェクト,グロテスク,血痕,bloodstain,",",キャラ,28,煙,3
エフェクト,シンボル,ハート,heart,",",シチュ,2,火,1
エフェクト,シンボル,バラ,bara,",",その他,1,光,26
エフェクト,シンボル,バラ2,not rose,",",テイスト,17,自然,1
エフェクト,シンボル,音符,musical note,",",衣装,1,水系,5
エフェクト,シンボル,紙吹雪,confetti,",",陰影,1,天体,2
エフェクト,シンボル,宙に舞う羽,feathers,",",仮登録,1,電気,3
エフェクト,シンボル,錨マーク,anchor symbol,",",画面効果,5,氷,1
エフェクト,シンボル,薔薇,rose,",",元素法典,7,魔法,1
エフェクト,液体,液体,liquid body,",",作品,1,オブジェクト,9
エフェクト,液体,汗,sweat,",",術式,1,家具,14
エフェクト,液体,汗のしずく,sweatdrop,",",照明,2,楽器,5
エフェクト,液体,血液,blood,",",証明,1,公共物,5
エフェクト,液体,多くの汗,many sweat,",",詳細,9,自然物,1
エフェクト,液体,"唾液腺,唾液ブリッジ",saliva trail,",",状態,1,小物,16
エフェクト,液体,飛び散る汗,flying sweatdrops,",",食べ物,8,オプション,41
エフェクト,液体,飛沫,splash,",",身体,30,汚物,2
エフェクト,液体,飛沫2,splashing,",",人間,4,お気に,4
エフェクト,炎,いい感じの炎,flame painter,",",成人向け,17,その他,16
エフェクト,炎,渦巻く炎,flame whirlpool,",",生物,4,フォーカス,9
エフェクト,炎,炎,flames,",",装飾,15,画角,6
エフェクト,炎,煙がメイン火薬の煙,smoke of gunpowder,",",属性,6,距離,3
エフェクト,炎,火,fire,",",動作,9,構図,18
エフェクト,炎,火がメイン火薬の煙,gunpowder smoke,",",背景,8,視点,14
エフェクト,炎,火の雲,fire cloud,",",表情,10,複数画面,1
エフェクト,炎,火の翼,wings on fire,",",品質,17,Fate,7
エフェクト,炎,火炎,flame,",",服装,15,FE,1
エフェクト,炎,火花,spark,",",#REF!,1,Hololive,5
エフェクト,炎,花火,fireworks,",",,1,VOCALOID,1
エフェクト,炎,周りに炎,flames around,",",,1,VOICE BOX,1
エフェクト,炎,爆発,explosion,",",,1,VOICE ROID,2
エフェクト,煙,煙,smoke,",",,1,アイマス,5
エフェクト,煙,湿気,humid,",",,1,アトリエ,1
エフェクト,煙,蒸気,steam,",",,1,イレーナ魔女の旅立ち,1
エフェクト,火,ハナビ,hanabi,",",,1,ウマ娘,9
エフェクト,光,フレア,flare,",",,1,オリキャラ,2
エフェクト,光,華麗な光,brilliant light,",",,1,グランブルーファンタジー,1
エフェクト,光,光の粒子,light particles,",",,1,ごちうさ,3
エフェクト,光,粒子,particle,",",,1,このすば,2
エフェクト,自然,花びらが舞う,falling petals,",",,1,ゼノブレイド,2
エフェクト,水系,バブル,bubble,",",,1,にじさんじ,1
エフェクト,水系,水,water,",",,1,ブルーアーカイブ,1
エフェクト,水系,水スプレー,water spray,",",,1,ポケモン,3
エフェクト,水系,水ブルーム,water bloom,",",,1,まちカドまぞく,2
エフェクト,水系,水をはねかける,splashing water,",",,1,ラブライブ,2
エフェクト,天体,ゴッドレイ,god ray,",",,1,リゼロ,2
エフェクト,天体,ブラックホール,blackhole behind the girl,",",,1,艦これ,2
エフェクト,電気,稲妻チェーン,lightning chain,",",,1,原神,16
エフェクト,電気,稲妻効果,lightning effect,",",,1,灼眼のシャナ,1
エフェクト,電気,電気,electric,",",,1,東方,7
エフェクト,氷,雪の結晶,snowflake,",",,1,不思議の国のアリス,1
エフェクト,魔法,マジックサークル,magic circle,",",,1,無職転生,1
オブジェクト,オブジェクト,ダンボール箱,cardboard box,",",,1,遊戯王,1
オブジェクト,オブジェクト,フラワーズ,flowers,",",,1,イベント,5
オブジェクト,オブジェクト,ベルとのリーシュ,leash with bell,",",,1,シチュ,51
オブジェクト,オブジェクト,街灯2,street light,",",,1,ジャンル,1
オブジェクト,オブジェクト,逆さまの山,inverted mountain,",",,1,テイスト,9
